"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Sv2b",0,4.20731225197755,0.451,0.054,0
"Cst3",0,-1.76531162900539,0.322,0.675,0
"Bsg",0,-1.88596787077843,0.598,0.923,0
"Cacna2d1",0,1.66254946408831,0.616,0.291,0
"Pcp4",0,4.638382424261,0.317,0.017,0
"Ogfrl1",0,-1.15623360061354,0.559,0.856,0
"Wdr17",0,-1.37139247685795,0.534,0.827,0
"Ctsl",0,-1.39214316232668,0.511,0.797,0
"Slitrk2",0,-1.1169499275237,0.562,0.845,0
"Laptm4a",0,-1.27951234469501,0.471,0.749,0
"Eno1",0,-1.25745210663073,0.627,0.887,0
"Rgs13",0,3.40732780484989,0.306,0.049,0
"Tspan3",0,-1.20873115469914,0.593,0.85,0
"Cd9",0,-1.34031478650803,0.64,0.896,0
"Dbi",0,-1.21624797286964,0.56,0.808,0
"Nuak1",0,3.96068214024883,0.24,0.021,0
"Rlbp1",0,-1.16273513357624,0.721,0.937,0
"Fgd4",0,1.06256058224428,0.874,0.658,0
"Car2",0,-1.1995052388286,0.717,0.924,0
"Flt1",0,-0.906718032447608,0.789,0.979,0
"Aqp4",0,-1.24297457568312,0.823,0.983,0
"B2m",0,-1.3144511650003,0.76,0.919,0
"Mgarp",0,-1.42166322131302,0.809,0.953,0
"Itm2b",0,-1.14764856085385,0.849,0.964,0
"Gpr37",0,-0.883911739005101,0.894,0.987,0
"Clu",0,-1.64585764351147,0.914,0.995,0
"Glul",0,-1.08642677424175,0.935,0.995,0
"Magi1",0,0.889880066226027,0.992,0.947,0
"Dkk3",0,-0.604851428803475,0.965,0.993,0
"Apoe",0,-1.59728928141828,0.974,0.998,0
"Rtn4",0,-0.575272623789844,0.992,0.998,0
"Acsl3",0,-0.750379807625623,0.995,0.998,0
"Rora",0,0.731884600926005,0.999,0.998,0
"Nlgn1",0,0.664473389268021,1,1,0
"Malat1",0,-0.514037690218207,1,1,0
"Nxn",1.37228012234208e-301,1.33329208621718,0.786,0.526,3.08337620689041e-297
